,Text,Username,Unnamed: 0,Datetime,polarity
58,"The legend @nic__carter came to the studio today and dropped a masterclass on bitcoin mining.

This is an absolute must watch. Drop everything and get started 👇🏼

https://t.co/NNHBPcfp4u",APompliano,35692,2021-10-14 22:47:28+00:00,Neutral
59,@micsolana This is a real op-ed that these insane people published today. I wish this was all a joke https://t.co/Pk2DTw5jl2,APompliano,35717,2021-10-13 23:31:54+00:00,Neutral
60,"More than 4.3 million people quit their jobs in August. 

The unemployment rate is over 5%. 

Yet there are over 11 million open roles in the economy.

Absolute madness right now.",APompliano,35723,2021-10-13 18:04:18+00:00,Neutral
61,"The most effective way to address wealth inequality is to stop devaluing the currency.

The most effective way to address climate concerns is to embrace nuclear energy.

The experts are just virtue signaling if they aren’t talking about the actual solutions.",APompliano,35892,2021-10-08 12:20:55+00:00,Neutral
62,"8/ We’re doing our best to scale up our team and create more effective programs.

We can’t promise everyone will be hired, but we already have a very solid track record.

We’ll continue to share more information over time as we learn more.

The goal is 10,000 people hired 🙏🏼",APompliano,35989,2021-10-06 20:48:46+00:00,Positive
63,"New episode with @RaoulGMI is now live!

- macro investing
- economic stimulus
- bond portfolios
- bitcoin
- ethereum
- solana
- NFTs
- social tokens
- price predictions
- institutional investors

This was fun. Enjoy!

https://t.co/lGT9njCZ3U",APompliano,36045,2021-10-05 12:16:27+00:00,Neutral
64,"@sagar_solanki I've talked about the things that could be risks quite a bit, but it is usually when I'm being interviewed somewhere rather than when I am interviewing folks. Sometimes I ask ""what would make you change your mind?"" which is a great question to learn IMO",APompliano,36338,2021-09-23 15:54:19+00:00,Neutral
65,"We are talking with Coinbase CEO @brian_armstrong right now about his company, industry regulation, and various parts of crypto.

WATCH NOW: https://t.co/UZYAlRqQBG https://t.co/zHRns4soLJ",APompliano,36339,2021-09-23 15:52:54+00:00,Neutral
66,"We're LIVE with @udiWertheimer now talking bitcoin, memes, and the metaverse.

WATCH: https://t.co/UZYAlRqQBG",APompliano,36407,2021-09-20 16:15:14+00:00,Neutral
67,"Today's episode of The Best Business Show is 🔥

- El Salvador buys the dip
- Roth IRA rules changing
- Doordash flips Uber
- Internet is undefeated

Then @udiWertheimer joins us to talk bitcoin, maximalism, memes, and the metaverse.

WATCH: https://t.co/UZYAlRqQBG",APompliano,36408,2021-09-20 15:00:11+00:00,Positive
68,"New episode with @KyleSamani is now live!

- Bitcoin
- Ethereum
- Solana
- Best early stage investment ever?
- Current framework
- How industry evolves going forward

This one presents an unique perspective from one of the best investors in crypto. Enjoy!

https://t.co/tIP4AiLWVn",APompliano,36426,2021-09-20 13:12:11+00:00,Neutral
69,"This is a great piece by @mhdempsey  which gives a solid possible explanation for why investing seems to have become a crazy game lately.

Worth a quick read.

https://t.co/5qliaTHh6i",APompliano,36432,2021-09-20 01:54:58+00:00,Neutral
70,"We're LIVE with @KyleSamani right now talking about his investment in Solana, which is probably one of the best investments in venture history.

WATCH: https://t.co/UZYAlRqQBG",APompliano,36506,2021-09-17 15:59:50+00:00,Positive
71,"Today's episode of The Best Business Show is 🔥

- Fed balance sheet
- Evergrande failure
- SpaceX
- @WClementeIII on-chain metrics
- @KyleSamani on Solana investment

Summer Fridays in full effect!

WATCH: https://t.co/UZYAlRqQBG",APompliano,36507,2021-09-17 15:13:40+00:00,Neutral
72,"Elon Musk is out here launching civilians into space and some of you think the government can solve our problems better than entrepreneurs.

We need as many entrepreneurs, investors, and capitalists as we can get.",APompliano,36543,2021-09-16 00:29:41+00:00,Positive
73,"The lack of financial education should be a national emergency.

My brothers and I are going to try an experiment tomorrow.

We're holding a personal finance 101 seminar for up to 500 people at 5p EST.

First come, first served. Completely free.

SIGN UP: https://t.co/K90SOlZ4Xf",APompliano,36623,2021-09-12 23:33:15+00:00,Neutral
74,"@intangiblecoins ""I, _____, do solemnly swear (or affirm) that I will support and defend the Constitution of the United States against all enemies, foreign and domestic...""

That is exact language that every soldier swears to and it explicitly states ""foreign or domestic"" for a reason.",APompliano,36644,2021-09-11 16:41:03+00:00,Neutral
75,"@TheCryptoDog @knlae_ I think that says more about them than me. I wrote this last September and pretty sure @GoingParabolic and I bought the 2nd Fewocious NFT ever sold 😂

Can’t make people pay attention 

https://t.co/dbkeMf2pMI",APompliano,36656,2021-09-10 21:19:11+00:00,Neutral
76,"@MariusCrypt0 The underlying technology doesn’t matter. Whether ethereum, Solana or some other chain wins (including bitcoin) as long as the user experience is best for end users.

Monetary maximalism and tech competition as I’ve previously written about",APompliano,36663,2021-09-10 17:10:52+00:00,Neutral
77,@iamlbg @fewocious Last May and Fewocious went on to become an absolute star,APompliano,36666,2021-09-10 16:20:09+00:00,Neutral
78,We need as many innovators and entrepreneurs as we can get working to solve hard problems in the United States.,APompliano,36725,2021-09-08 14:47:26+00:00,Neutral
79,"It is still ridiculously hard to use most things in the bitcoin and crypto industry.

We are all underestimating how big this entire thing will be once those UI/UX issues get solved for the average consumer.",APompliano,36796,2021-09-05 03:16:21+00:00,Neutral
80,"""To do much clear thinking a person must arrange for regular periods of solitude when they can concentrate and indulge the imagination without distraction."" - Thomas Edison",APompliano,36857,2021-09-03 13:22:49+00:00,Neutral
81,@DovZaev We sold out in just a few hours. Working to get more of them. Hopefully in another 1-2 weeks.,APompliano,36879,2021-09-02 13:32:44+00:00,Neutral
82,"New episode with Head of Facebook Financial @davidmarcus is live!

- bitcoin
- stablecoins
- Novi
- digital wallets
- Libra
- Diem
- financial regulation
- trust issues
- the metaverse

This one was fun. Enjoy! 

https://t.co/aao5eYYxmp",APompliano,36916,2021-09-01 11:40:00+00:00,Neutral
83,"We are almost sold out of the TRILLIONAIRE ENERGY hoodies again.

We’ll be sold out tonight for sure. Get ‘em while they’re hot!! 🔥

BUY NOW: https://t.co/iXmaxXpCrZ https://t.co/qBEEadXab5",APompliano,36945,2021-08-31 00:21:36+00:00,Neutral
84,The world needs as many problem solvers as we can get.,APompliano,37024,2021-08-26 22:09:39+00:00,Positive
85,@goad_solar LMAO!,APompliano,37092,2021-08-23 16:25:12+00:00,Positive
86,"Elon Musk has secretly been executing a master plan to successfully colonize Mars.

This is the single most ambitious thing anyone is working on right now.

Absolutely WILD. 

https://t.co/8kl08OfI7k",APompliano,37258,2021-08-20 19:57:23+00:00,Neutral
87,"5/ The legacy school system is focused on rote memorization &amp; passing standardized tests.

The real world demands people who can think critically in complex environments, work in teams, communicate effectively, &amp; solve problems.

Get real world training: https://t.co/SH7TWoS3R5",APompliano,37315,2021-08-19 00:00:51+00:00,Neutral
88,"1/ The legacy education system was built for producing factory workers that simply did what they were told.

Young kids are ill-equipped for the dynamic, digital world that makes up modern society.

We don't need factory workers. We need problem solvers: https://t.co/SH7TWoS3R5",APompliano,37319,2021-08-19 00:00:50+00:00,Neutral
89,"The single most important thing to teach a child is how to think, rather than what to think.

We need more independent thinkers, problem solvers, and entrepreneurs in this world.

@synthesischool is a no brainer for every parent.

APPLY: https://t.co/SH7TWoS3R5 https://t.co/ZCu2NZTGXP",APompliano,37320,2021-08-19 00:00:49+00:00,Neutral
90,@GavinSBaker This is a great thread and solid points,APompliano,37327,2021-08-18 19:29:40+00:00,Neutral
91,"New episode with @ZubyMusic is live!

- freedom of speech
- independent thought
- problem solving
- social pressures
- education
- bitcoin
- how the world is changing

This one isn’t for the faint of heart. 

https://t.co/GNecYBb8dV",APompliano,37405,2021-08-16 11:51:43+00:00,Neutral
